,0
AAPL,0.0
ABBV,0.0
ADBE,0.0
ADP,0.0
AMD,0.0
AMGN,0.0
AMZN,0.0
APD,0.0
AVGO,0.0
AXP,0.0
BA,0.0
BAC,0.0
BKNG,0.0
BLK,0.0
BMY,0.0
C,0.0
CAT,0.0
CL,0.0
CMCSA,0.0
CME,0.0
COP,0.0
COST,0.0
CRM,0.0
CSCO,0.0
CVX,0.0
D,0.0
DE,0.0
DHR,0.0
DIS,0.0
DUK,0.0
EMR,0.0
EOG,0.0
EXC,0.0
F,0.0
FCX,0.0
FDX,0.0
GE,0.0
GILD,0.0
GIS,0.0
GM,0.0
GOOGL,0.0
GS,0.0
HD,0.0
HON,0.0
HSY,0.0
ICE,0.0
INTC,0.0
JNJ,0.0
JPM,0.0
KMB,0.0
KO,0.0
LIN,0.0
LLY,0.0
LMT,0.0
LOW,0.0
MA,0.0
MCD,0.0
MDLZ,0.0
MDT,0.0
META,0.0
MPC,0.0
MRK,0.0
MS,0.0
MSFT,0.0
NEE,0.0
NEM,0.0
NFLX,0.0
NKE,0.0
NOC,0.0
NVDA,0.0
ORCL,0.0
PEP,0.0
PFE,0.0
PG,0.0
PSX,0.0
PYPL,0.0
QCOM,0.0
RTX,0.0
SBUX,0.0
SCHW,0.0
SHW,0.0
SLB,0.0
SO,0.0
SPGI,0.0
SQ,0.0
T,0.0
TGT,0.0
TJX,0.0
TMO,0.0
TMUS,0.0
TXN,0.0
UNH,0.0
UNP,0.0
UPS,0.0
V,0.0
VLO,0.0
VZ,0.0
WFC,0.0
WMT,0.0
XOM,0.0
