horizon,model,split,accuracy,macro_f1,weighted_f1,f1_calm,f1_normal,f1_turbulent
1,Logistic Regression,Validation,0.9920159680638724,0.9897142153239714,0.9920159680638724,0.0,0.994579945799458,0.9848484848484848
1,Logistic Regression,Test,0.946524064171123,0.8004516510492606,0.9356453249117886,0.4615384615384615,0.9701195219123506,0.9696969696969696
1,K-Means,Validation,0.720558882235529,0.7096758170800358,0.7362663989547974,0.0,0.7658862876254181,0.6534653465346535
1,K-Means,Test,0.9180035650623886,0.6154491124788154,0.8861240655067096,0.0,0.9544554455445544,0.8918918918918919
1,Hierarchical Clustering,Validation,0.7365269461077845,0.4241379310344828,0.6247780301466034,0.0,0.8482758620689655,0.0
1,Hierarchical Clustering,Test,0.8734402852049911,0.3108150967332699,0.8144352802101725,0.0,0.9324452901998096,0.0
1,SVM RBF,Validation,0.9660678642714572,0.9570067793701192,0.966343636420628,0.0,0.9767441860465116,0.9372693726937268
1,SVM RBF,Test,0.946524064171123,0.7932919653794405,0.9342382779969026,0.44,0.9701789264413518,0.9696969696969696
1,HMM,Validation,0.7365269461077845,0.4241379310344828,0.6247780301466034,0.0,0.8482758620689655,0.0
1,HMM,Test,0.9215686274509804,0.6190104166666667,0.8888508244206773,0.0,0.95703125,0.9
1,Fair Flattened No-Graph,Validation,0.9241516966067864,0.9058270676691728,0.9254783665751204,0.0,0.9473684210526316,0.8642857142857143
1,Fair Flattened No-Graph,Test,0.8467023172905526,0.4967625248688732,0.8300569771636767,0.0,0.911340206185567,0.5789473684210527
1,GCN Attention,Validation,0.9481037924151696,0.9328141118217456,0.9479758452972332,0.0,0.9648648648648648,0.900763358778626
1,GCN Attention,Test,0.928698752228164,0.8517397429717075,0.9363601851686986,0.6274509803921569,0.958071278825996,0.9696969696969696
3,Logistic Regression,Validation,0.9800399201596808,0.9741592737775944,0.9799907097297051,0.0,0.9864864864864864,0.9618320610687024
3,Logistic Regression,Test,0.9266547406082288,0.7358908365197673,0.9139134746857432,0.3396226415094339,0.958958958958959,0.9090909090909092
3,K-Means,Validation,0.720558882235529,0.7096758170800358,0.7362663989547974,0.0,0.7658862876254181,0.6534653465346535
3,K-Means,Test,0.9105545617173524,0.5960453495244747,0.879059347920599,0.0,0.9502982107355864,0.8378378378378378
3,Hierarchical Clustering,Validation,0.7365269461077845,0.4241379310344828,0.6247780301466034,0.0,0.8482758620689655,0.0
3,Hierarchical Clustering,Test,0.8729874776386404,0.3107290671760586,0.8137877537491051,0.0,0.9321872015281756,0.0
3,SVM RBF,Validation,0.942115768463074,0.926314935311928,0.9424563036602968,0.0,0.96043656207367,0.8921933085501859
3,SVM RBF,Test,0.9302325581395348,0.7441626471477217,0.9170663837846708,0.3461538461538461,0.960960960960961,0.9253731343283582
3,HMM,Validation,0.7365269461077845,0.4241379310344828,0.6247780301466034,0.0,0.8482758620689655,0.0
3,HMM,Test,0.9212880143112702,0.6189542483660131,0.8884597846294153,0.0,0.9568627450980391,0.9
3,Fair Flattened No-Graph,Validation,0.8782435129740519,0.8491567168967578,0.8804911290345702,0.0,0.9153952843273232,0.7829181494661922
3,Fair Flattened No-Graph,Test,0.8264758497316637,0.4858038434680771,0.8176613286102338,0.0,0.8988529718456726,0.5585585585585585
3,GCN Attention,Validation,0.9520958083832336,0.934251968503937,0.9504549955207694,0.0,0.968503937007874,0.9
3,GCN Attention,Test,0.9373881932021468,0.7756286875783731,0.9268523257114744,0.4528301886792453,0.964964964964965,0.9090909090909092
5,Logistic Regression,Validation,0.9660678642714572,0.9559619650363752,0.9659415405310184,0.0,0.9770580296896086,0.9348659003831418
5,Logistic Regression,Test,0.910233393177738,0.6661282160280156,0.8927312434563921,0.2,0.9498997995991983,0.8484848484848485
5,K-Means,Validation,0.7365269461077845,0.4241379310344828,0.6247780301466034,0.0,0.8482758620689655,0.0
5,K-Means,Test,0.8725314183123878,0.3106423777564717,0.8131357033553605,0.0,0.9319271332694152,0.0
5,Hierarchical Clustering,Validation,0.7365269461077845,0.4241379310344828,0.6247780301466034,0.0,0.8482758620689655,0.0
5,Hierarchical Clustering,Test,0.8725314183123878,0.3106423777564717,0.8131357033553605,0.0,0.9319271332694152,0.0
5,SVM RBF,Validation,0.9221556886227544,0.9004356798899336,0.9224341502731752,0.0,0.946938775510204,0.8539325842696629
5,SVM RBF,Test,0.9048473967684022,0.6886939349450704,0.8945432591787206,0.2711864406779661,0.9464105156723964,0.8484848484848485
5,HMM,Validation,0.7365269461077845,0.4241379310344828,0.6247780301466034,0.0,0.8482758620689655,0.0
5,HMM,Test,0.9138240574506284,0.5953630796150481,0.880681095293968,0.0,0.952755905511811,0.8333333333333334
5,Fair Flattened No-Graph,Validation,0.8023952095808383,0.7731071678537609,0.8116697561277462,0.0,0.8546255506607929,0.6915887850467289
5,Fair Flattened No-Graph,Test,0.7755834829443446,0.4319815322300823,0.77992335598847,0.0,0.8645720476706392,0.4313725490196078
5,GCN Attention,Validation,0.93812375249501,0.9157923843914182,0.936306082998206,0.0,0.9591567852437418,0.8724279835390947
5,GCN Attention,Test,0.9174147217235188,0.6941308880387037,0.9016861730642612,0.28,0.9539078156312624,0.8484848484848485
